population_ID	species	environment_type	pesticide	modality	dose	repetition_ID	alive	dead	total
MEAM1	MEAM1	Laboratory	plenum	dose	9.77	r4	3	12	15
MEAM1	MEAM1	Laboratory	plenum	dose	39.06	r1	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	39.06	r2	2	13	15
MEAM1	MEAM1	Laboratory	plenum	dose	39.06	r3	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	39.06	r4	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	156.25	r1	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	156.25	r2	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	156.25	r3	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	156.25	r4	2	13	15
MEAM1	MEAM1	Laboratory	plenum	dose	625	r1	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	625	r2	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	625	r3	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	625	r4	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	2500	r1	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	2500	r2	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	2500	r3	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	2500	r4	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	10000	r1	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	10000	r2	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	10000	r3	0	15	15
MEAM1	MEAM1	Laboratory	plenum	dose	10000	r4	0	15	15
P13	MEAM1	Greenhouse	plenum	control	0	r1	15	0	15
P13	MEAM1	Greenhouse	plenum	control	0	r2	12	3	15
P13	MEAM1	Greenhouse	plenum	control	0	r3	14	1	15
P13	MEAM1	Greenhouse	plenum	control	0	r4	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	9.77	r1	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	9.77	r2	14	0	14
P13	MEAM1	Greenhouse	plenum	dose	9.77	r3	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	9.77	r4	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	39.06	r1	12	3	15
P13	MEAM1	Greenhouse	plenum	dose	39.06	r2	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	39.06	r3	15	0	15
P13	MEAM1	Greenhouse	plenum	dose	39.06	r4	15	0	15
P13	MEAM1	Greenhouse	plenum	dose	156.25	r1	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	156.25	r2	13	2	15
P13	MEAM1	Greenhouse	plenum	dose	156.25	r3	13	2	15
P13	MEAM1	Greenhouse	plenum	dose	156.25	r4	15	0	15
P13	MEAM1	Greenhouse	plenum	dose	625	r1	12	2	14
P13	MEAM1	Greenhouse	plenum	dose	625	r2	15	0	15
P13	MEAM1	Greenhouse	plenum	dose	625	r3	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	625	r4	13	2	15
P13	MEAM1	Greenhouse	plenum	dose	2500	r1	13	2	15
P13	MEAM1	Greenhouse	plenum	dose	2500	r2	13	2	15
P13	MEAM1	Greenhouse	plenum	dose	2500	r3	15	0	15
